# date, vza, vaa, sza, saa, sat_flag, lat, lon, b1, b2, b3, b4, b5, b6, b7, b8a, b8b, b9, b10, b11, b12
2017/06/07 09:50,3.76458358393,238.679232557,21.8363665418,142.460435019,S2A,41.3716764791,15.5008068358,-99999,-99999,-99999,0.207129150629,-99999,-99999,-99999,0.323583602905,-99999,-99999,-99999,-99999,-99999
2017/07/07 09:50,3.73031274675,237.885266979,22.7733404238,139.617969737,S2A,41.3716764791,15.5008068358,-99999,-99999,-99999,0.280768811703,-99999,-99999,-99999,0.39035525918,-99999,-99999,-99999,-99999,-99999
2017/07/12 09:50,3.80819431527,239.920895057,23.3919024603,140.112594135,S2B,41.3716764791,15.5008068358,-99999,-99999,-99999,0.268707543612,-99999,-99999,-99999,0.358260422945,-99999,-99999,-99999,-99999,-99999
2017/07/27 09:50,3.77687817914,239.542260381,25.9099437678,143.049639355,S2A,41.3716764791,15.5008068358,-99999,-99999,-99999,0.308058261871,-99999,-99999,-99999,0.413746237755,-99999,-99999,-99999,-99999,-99999
2017/08/01 09:50,3.79551328812,239.677452189,26.955695484,144.399242532,S2B,41.3716764791,15.5008068358,-99999,-99999,-99999,0.278599500656,-99999,-99999,-99999,0.3812687397,-99999,-99999,-99999,-99999,-99999
2017/08/06 09:50,3.80083117248,240.498828297,28.0868315399,145.921325721,S2A,41.3716764791,15.5008068358,-99999,-99999,-99999,0.269494920969,-99999,-99999,-99999,0.356323957443,-99999,-99999,-99999,-99999,-99999
2017/08/11 09:50,3.79657070366,239.769175511,29.3178863123,147.501851167,S2B,41.3716764791,15.5008068358,-99999,-99999,-99999,0.277351230383,-99999,-99999,-99999,0.374176084995,-99999,-99999,-99999,-99999,-99999
2017/08/16 09:50,3.79866969123,240.699841667,30.6252891832,149.195154982,S2A,41.3716764791,15.5008068358,-99999,-99999,-99999,0.274330049753,-99999,-99999,-99999,0.387691378593,-99999,-99999,-99999,-99999,-99999
2017/08/21 09:50,3.80602343131,239.909401131,32.028057097,150.864804886,S2B,41.3716764791,15.5008068358,-99999,-99999,-99999,0.276939958334,-99999,-99999,-99999,0.371586948633,-99999,-99999,-99999,-99999,-99999
2017/08/26 09:50,3.77212028859,237.223966538,33.4946123202,152.602464442,S2A,41.3716764791,15.5008068358,-99999,-99999,-99999,0.25171226263,-99999,-99999,-99999,0.370876371861,-99999,-99999,-99999,-99999,-99999
2017/08/31 09:50,3.80762356377,239.649194529,35.0455989833,154.255189716,S2B,41.3716764791,15.5008068358,-99999,-99999,-99999,0.243943929672,-99999,-99999,-99999,0.348388344049,-99999,-99999,-99999,-99999,-99999
2017/09/05 09:50,3.85766131393,239.572560511,36.6453718635,155.942322741,S2A,41.3716764791,15.5008068358,-99999,-99999,-99999,0.218095526099,-99999,-99999,-99999,0.339224785566,-99999,-99999,-99999,-99999,-99999
2017/09/15 09:50,3.7944193986,240.404354068,40.022714498,159.042299174,S2A,41.3716764791,15.5008068358,-99999,-99999,-99999,0.193284854293,-99999,-99999,-99999,0.300021857023,-99999,-99999,-99999,-99999,-99999
2017/10/05 09:50,3.76268419023,239.325828925,47.155726228,164.118303568,S2A,41.3716764791,15.5008068358,-99999,-99999,-99999,0.155901148915,-99999,-99999,-99999,0.256724447012,-99999,-99999,-99999,-99999,-99999
2017/10/10 09:50,3.66526396961,235.042618429,48.9619249227,165.031952184,S2B,41.3716764791,15.5008068358,-99999,-99999,-99999,0.279900968075,-99999,-99999,-99999,0.345623970032,-99999,-99999,-99999,-99999,-99999
