# date, vza, vaa, sza, saa, sat_flag, lat, lon, b1, b2, b3, b4, b5, b6, b7, b8a, b8b, b9, b10, b11, b12
2017/06/03 10:10,8.78570316926,105.840195951,28.212421279,151.594928271,S2A,48.2781887039,11.7149463732,-99999,-99999,-99999,0.095749117434,-99999,-99999,-99999,0.17839615047,-99999,-99999,-99999,-99999,-99999
2017/06/13 10:10,8.8005332389,105.89855066,27.5549900272,150.052540811,S2A,48.2781887039,11.7149463732,-99999,-99999,-99999,0.101635172963,-99999,-99999,-99999,0.219926267862,-99999,-99999,-99999,-99999,-99999
2017/06/26 10:20,4.75332231492,269.446772462,26.8882325045,153.325042176,S2A,48.2781887039,11.7149463732,-99999,-99999,-99999,0.0314487330616,-99999,-99999,-99999,0.314751297235,-99999,-99999,-99999,-99999,-99999
2017/07/06 10:20,4.76532379682,269.452042531,27.6905151035,152.93092015,S2A,48.2781887039,11.7149463732,-99999,-99999,-99999,0.0167154874653,-99999,-99999,-99999,0.395373910666,-99999,-99999,-99999,-99999,-99999
2017/07/08 10:10,8.76437476269,106.600277493,28.7330319805,148.399858953,S2B,48.2781887039,11.7149463732,-99999,-99999,-99999,0.0387648306787,-99999,-99999,-99999,0.46607363224,-99999,-99999,-99999,-99999,-99999
2017/07/18 10:10,8.75994111022,106.56767541,30.2010429121,149.018606653,S2B,48.2781887039,11.7149463732,-99999,-99999,-99999,0.0147614758462,-99999,-99999,-99999,0.468406051397,-99999,-99999,-99999,-99999,-99999
2017/07/21 10:20,4.86436944653,270.108396065,29.9481365739,153.696452921,S2B,48.2781887039,11.7149463732,-99999,-99999,-99999,0.01524746418,-99999,-99999,-99999,0.453382700682,-99999,-99999,-99999,-99999,-99999
2017/08/05 10:20,4.84076820492,271.088804622,33.285212462,155.913267507,S2A,48.2781887039,11.7149463732,-99999,-99999,-99999,0.00963051710278,-99999,-99999,-99999,0.41078966856,-99999,-99999,-99999,-99999,-99999
2017/08/07 10:10,8.7587018689,106.551634873,34.5236784271,152.209061847,S2B,48.2781887039,11.7149463732,-99999,-99999,-99999,0.0217937156558,-99999,-99999,-99999,0.513968467712,-99999,-99999,-99999,-99999,-99999
2017/08/22 10:10,8.75299870794,105.834782997,38.7557756507,155.706376986,S2A,48.2781887039,11.7149463732,-99999,-99999,-99999,0.0411459133029,-99999,-99999,-99999,0.430162757635,-99999,-99999,-99999,-99999,-99999
2017/08/25 10:20,4.86430399875,271.865217905,39.0766720137,160.18841597,S2A,48.2781887039,11.7149463732,-99999,-99999,-99999,0.0300981681794,-99999,-99999,-99999,0.391162276268,-99999,-99999,-99999,-99999,-99999
2017/09/21 10:10,8.75310320171,105.831899673,48.9682412981,162.907102132,S2A,48.2781887039,11.7149463732,-99999,-99999,-99999,0.0480219982564,-99999,-99999,-99999,0.332653045654,-99999,-99999,-99999,-99999,-99999
