# date, vza, vaa, sza, saa, sat_flag, lat, lon, b1, b2, b3, b4, b5, b6, b7, b8a, b8b, b9, b10, b11, b12
2017/02/16 10:21,4.77012324176,269.720007316,61.990881463,162.705457987,S2A,48.2828863275,11.739317098,-99999,-99999,-99999,0.0388701483607,-99999,-99999,-99999,0.105401828885,-99999,-99999,-99999,-99999,-99999
2017/03/28 10:20,4.75979403903,269.513337817,46.5229806095,161.518738628,S2A,48.2828863275,11.739317098,-99999,-99999,-99999,0.0613042041659,-99999,-99999,-99999,0.164653837681,-99999,-99999,-99999,-99999,-99999
2017/04/24 10:10,8.77399094419,105.856008708,37.1326486699,156.918490393,S2A,48.2828863275,11.739317098,-99999,-99999,-99999,0.037992041558,-99999,-99999,-99999,0.262365847826,-99999,-99999,-99999,-99999,-99999
2017/05/17 10:20,4.84934562555,271.250506522,30.197464455,158.783765932,S2A,48.2828863275,11.739317098,-99999,-99999,-99999,0.0137903103605,-99999,-99999,-99999,0.428214430809,-99999,-99999,-99999,-99999,-99999
2017/05/27 10:20,4.83909018932,271.056366707,28.3725946495,157.365067323,S2A,48.2828863275,11.739317098,-99999,-99999,-99999,0.0149212917313,-99999,-99999,-99999,0.457823932171,-99999,-99999,-99999,-99999,-99999
2017/06/03 10:10,8.78570316926,105.840195951,28.212421279,151.594928271,S2A,48.2828863275,11.739317098,-99999,-99999,-99999,0.0267407875508,-99999,-99999,-99999,0.475221902132,-99999,-99999,-99999,-99999,-99999
2017/06/13 10:10,8.8005332389,105.89855066,27.5549900272,150.052540811,S2A,48.2828863275,11.739317098,-99999,-99999,-99999,0.0324097052217,-99999,-99999,-99999,0.5118227005,-99999,-99999,-99999,-99999,-99999
2017/06/26 10:20,4.75332231492,269.446772462,26.8882325045,153.325042176,S2A,48.2828863275,11.739317098,-99999,-99999,-99999,0.0310707986355,-99999,-99999,-99999,0.416641384363,-99999,-99999,-99999,-99999,-99999
2017/07/06 10:20,4.76532379682,269.452042531,27.6905151035,152.93092015,S2A,48.2828863275,11.739317098,-99999,-99999,-99999,0.0661193355918,-99999,-99999,-99999,0.346662610769,-99999,-99999,-99999,-99999,-99999
2017/07/08 10:10,8.76437476269,106.600277493,28.7330319805,148.399858953,S2B,48.2828863275,11.739317098,-99999,-99999,-99999,0.104500234127,-99999,-99999,-99999,0.385314941406,-99999,-99999,-99999,-99999,-99999
2017/07/18 10:10,8.75994111022,106.56767541,30.2010429121,149.018606653,S2B,48.2828863275,11.739317098,-99999,-99999,-99999,0.122461922467,-99999,-99999,-99999,0.245657622814,-99999,-99999,-99999,-99999,-99999
