#
#       i          Prior Sigma          Post Sigma       Unc. Red. [%]
#
        1         0.100000E-02        0.991658E-03             0.83415
        2         0.300000E+01        0.243932E+00            91.86895
        3         0.100000E+00        0.906347E-01             9.36527
        4         0.150000E+00        0.554865E-01            63.00900
        5         0.300000E+01        0.223700E+00            92.54335
        6         0.100000E+00        0.840708E-01            15.92917
        7         0.150000E+00        0.547286E-01            63.51426
        8         0.300000E+01        0.201973E+00            93.26756
        9         0.100000E+00        0.839233E-01            16.07670
       10         0.150000E+00        0.368966E-01            75.40228
       11         0.300000E+01        0.177545E+00            94.08182
       12         0.100000E+00        0.836815E-01            16.31847
       13         0.150000E+00        0.338590E-01            77.42736
       14         0.300000E+01        0.148826E+00            95.03912
       15         0.100000E+00        0.840542E-01            15.94578
       16         0.150000E+00        0.387065E-01            74.19567
       17         0.300000E+01        0.169574E+00            94.34754
       18         0.100000E+00        0.835304E-01            16.46959
       19         0.150000E+00        0.355325E-01            76.31169
       20         0.300000E+01        0.184834E+00            93.83885
       21         0.100000E+00        0.836689E-01            16.33114
       22         0.150000E+00        0.375505E-01            74.96633
       23         0.300000E+01        0.196513E+00            93.44955
       24         0.100000E+00        0.835576E-01            16.44238
       25         0.150000E+00        0.520050E-01            65.32997
       26         0.300000E+01        0.205868E+00            93.13772
       27         0.100000E+00        0.836795E-01            16.32051
       28         0.150000E+00        0.524382E-01            65.04118
       29         0.300000E+01        0.213136E+00            92.89548
       30         0.100000E+00        0.838814E-01            16.11857
       31         0.150000E+00        0.526978E-01            64.86811
       32         0.300000E+01        0.218268E+00            92.72441
       33         0.100000E+00        0.836464E-01            16.35356
       34         0.150000E+00        0.419654E-01            72.02308
       35         0.300000E+01        0.221599E+00            92.61336
       36         0.100000E+00        0.831744E-01            16.82556
       37         0.150000E+00        0.401843E-01            73.21045
       38         0.300000E+01        0.223764E+00            92.54119
       39         0.100000E+00        0.832996E-01            16.70038
       40         0.150000E+00        0.484154E-01            67.72306
       41         0.300000E+01        0.224684E+00            92.51054
       42         0.100000E+00        0.830472E-01            16.95277
       43         0.150000E+00        0.488676E-01            67.42162
       44         0.300000E+01        0.224827E+00            92.50576
       45         0.100000E+00        0.831314E-01            16.86861
       46         0.150000E+00        0.589086E-01            60.72763
       47         0.300000E+01        0.224208E+00            92.52641
       48         0.100000E+00        0.830559E-01            16.94409
       49         0.150000E+00        0.568810E-01            62.07936
       50         0.300000E+01        0.222991E+00            92.56698
       51         0.100000E+00        0.838167E-01            16.18331
       52         0.150000E+00        0.573300E-01            61.78001
       53         0.300000E+01        0.220010E+00            92.66632
       54         0.100000E+00        0.839169E-01            16.08314
       55         0.150000E+00        0.588153E-01            60.78981
       56         0.300000E+01        0.215045E+00            92.83184
       57         0.100000E+00        0.833148E-01            16.68523
       58         0.150000E+00        0.585602E-01            60.95988
       59         0.300000E+01        0.208591E+00            93.04696
       60         0.100000E+00        0.827635E-01            17.23655
       61         0.150000E+00        0.574113E-01            61.72580
       62         0.300000E+01        0.200970E+00            93.30099
       63         0.100000E+00        0.837409E-01            16.25907
       64         0.150000E+00        0.579196E-01            61.38693
       65         0.300000E+01        0.190691E+00            93.64364
       66         0.100000E+00        0.840130E-01            15.98704
       67         0.150000E+00        0.618773E-01            58.74845
       68         0.300000E+01        0.203316E+00            93.22281
       69         0.100000E+00        0.837954E-01            16.20463
       70         0.150000E+00        0.618884E-01            58.74109
       71         0.300000E+01        0.213374E+00            92.88754
       72         0.100000E+00        0.837263E-01            16.27373
       73         0.150000E+00        0.619121E-01            58.72524
       74         0.300000E+01        0.221402E+00            92.61995
       75         0.100000E+00        0.839090E-01            16.09099
       76         0.150000E+00        0.619712E-01            58.68585
       77         0.300000E+01        0.227514E+00            92.41620
       78         0.100000E+00        0.838739E-01            16.12608
       79         0.150000E+00        0.613811E-01            59.07925
       80         0.300000E+01        0.231933E+00            92.26891
       81         0.100000E+00        0.833940E-01            16.60598
       82         0.150000E+00        0.612362E-01            59.17584
       83         0.300000E+01        0.235291E+00            92.15698
       84         0.100000E+00        0.833321E-01            16.66791
       85         0.150000E+00        0.622185E-01            58.52100
       86         0.300000E+01        0.237735E+00            92.07551
       87         0.100000E+00        0.838204E-01            16.17960
       88         0.150000E+00        0.625008E-01            58.33282
       89         0.300000E+01        0.238804E+00            92.03988
       90         0.100000E+00        0.837773E-01            16.22269
       91         0.150000E+00        0.674522E-01            55.03185
       92         0.300000E+01        0.238543E+00            92.04858
       93         0.100000E+00        0.827855E-01            17.21451
       94         0.150000E+00        0.606399E-01            59.57343
       95         0.300000E+01        0.237878E+00            92.07074
       96         0.100000E+00        0.832172E-01            16.78283
       97         0.150000E+00        0.606403E-01            59.57311
       98         0.300000E+01        0.236317E+00            92.12277
       99         0.100000E+00        0.836541E-01            16.34589
      100         0.150000E+00        0.604508E-01            59.69949
      101         0.300000E+01        0.233414E+00            92.21952
      102         0.100000E+00        0.831553E-01            16.84465
      103         0.150000E+00        0.602893E-01            59.80713
      104         0.300000E+01        0.229474E+00            92.35086
      105         0.100000E+00        0.834857E-01            16.51434
      106         0.150000E+00        0.587846E-01            60.81027
      107         0.300000E+01        0.224087E+00            92.53043
      108         0.100000E+00        0.837290E-01            16.27102
      109         0.150000E+00        0.585559E-01            60.96275
      110         0.300000E+01        0.216909E+00            92.76969
      111         0.100000E+00        0.838889E-01            16.11112
      112         0.150000E+00        0.592610E-01            60.49270
      113         0.300000E+01        0.219894E+00            92.67019
      114         0.100000E+00        0.836681E-01            16.33186
      115         0.150000E+00        0.666061E-01            55.59591
      116         0.300000E+01        0.220948E+00            92.63507
      117         0.100000E+00        0.818946E-01            18.10544
      118         0.150000E+00        0.604930E-01            59.67132
      119         0.300000E+01        0.221149E+00            92.62838
      120         0.100000E+00        0.827892E-01            17.21085
      121         0.150000E+00        0.606959E-01            59.53607
      122         0.300000E+01        0.219912E+00            92.66960
      123         0.100000E+00        0.830719E-01            16.92806
      124         0.150000E+00        0.655413E-01            56.30578
      125         0.300000E+01        0.217036E+00            92.76546
      126         0.100000E+00        0.837564E-01            16.24356
      127         0.150000E+00        0.575962E-01            61.60251
      128         0.300000E+01        0.221181E+00            92.62729
      129         0.100000E+00        0.815592E-01            18.44085
      130         0.150000E+00        0.567257E-01            62.18286
      131         0.300000E+01        0.224499E+00            92.51670
      132         0.100000E+00        0.834098E-01            16.59019
      133         0.150000E+00        0.574710E-01            61.68600
      134         0.300000E+01        0.226122E+00            92.46259
      135         0.100000E+00        0.832716E-01            16.72838
      136         0.150000E+00        0.654262E-01            56.38252
      137         0.300000E+01        0.226207E+00            92.45977
      138         0.100000E+00        0.831156E-01            16.88436
      139         0.150000E+00        0.595456E-01            60.30293
      140         0.300000E+01        0.224835E+00            92.50551
      141         0.100000E+00        0.838873E-01            16.11272
      142         0.150000E+00        0.592305E-01            60.51297
      143         0.300000E+01        0.228803E+00            92.37324
      144         0.100000E+00        0.834865E-01            16.51345
      145         0.150000E+00        0.597792E-01            60.14719
      146         0.300000E+01        0.231217E+00            92.29278
      147         0.100000E+00        0.836508E-01            16.34925
      148         0.150000E+00        0.675378E-01            54.97477
      149         0.300000E+01        0.232052E+00            92.26492
      150         0.100000E+00        0.825142E-01            17.48581
      151         0.150000E+00        0.637649E-01            57.49006
      152         0.300000E+01        0.231995E+00            92.26683
      153         0.100000E+00        0.837042E-01            16.29583
      154         0.150000E+00        0.640347E-01            57.31021
      155         0.300000E+01        0.230360E+00            92.32135
      156         0.100000E+00        0.835960E-01            16.40401
      157         0.150000E+00        0.705416E-01            52.97227
      158         0.300000E+01        0.227181E+00            92.42729
      159         0.100000E+00        0.839190E-01            16.08100
      160         0.150000E+00        0.716898E-01            52.20681
      161         0.300000E+01        0.229677E+00            92.34409
      162         0.100000E+00        0.839196E-01            16.08044
      163         0.150000E+00        0.669014E-01            55.39904
      164         0.300000E+01        0.230451E+00            92.31829
      165         0.100000E+00        0.839753E-01            16.02467
      166         0.150000E+00        0.668829E-01            55.41142
      167         0.300000E+01        0.229498E+00            92.35008
      168         0.100000E+00        0.840158E-01            15.98422
      169         0.150000E+00        0.703281E-01            53.11457
      170         0.300000E+01        0.226764E+00            92.44121
      171         0.100000E+00        0.837402E-01            16.25981
      172         0.150000E+00        0.659209E-01            56.05277
      173         0.300000E+01        0.222353E+00            92.58825
      174         0.100000E+00        0.840081E-01            15.99194
      175         0.150000E+00        0.659507E-01            56.03290
      176         0.300000E+01        0.215953E+00            92.80158
      177         0.100000E+00        0.840717E-01            15.92833
      178         0.150000E+00        0.690664E-01            53.95576
      179         0.300000E+01        0.207305E+00            93.08984
      180         0.100000E+00        0.838706E-01            16.12941
      181         0.150000E+00        0.617674E-01            58.82171
      182         0.300000E+01        0.209703E+00            93.00990
      183         0.100000E+00        0.839086E-01            16.09138
      184         0.150000E+00        0.612622E-01            59.15856
      185         0.300000E+01        0.209722E+00            93.00927
      186         0.100000E+00        0.840559E-01            15.94415
      187         0.150000E+00        0.617544E-01            58.83043
      188         0.300000E+01        0.207272E+00            93.09094
      189         0.100000E+00        0.840608E-01            15.93923
      190         0.150000E+00        0.685922E-01            54.27188
      191         0.300000E+01        0.202247E+00            93.25845
      192         0.100000E+00        0.837897E-01            16.21033
      193         0.150000E+00        0.642576E-01            57.16160
      194         0.300000E+01        0.194621E+00            93.51265
      195         0.100000E+00        0.840449E-01            15.95514
      196         0.150000E+00        0.642000E-01            57.19997
      197         0.300000E+01        0.183817E+00            93.87278
      198         0.100000E+00        0.840226E-01            15.97739
      199         0.150000E+00        0.632325E-01            57.84500
      200         0.300000E+01        0.169182E+00            94.36059
      201         0.100000E+00        0.839223E-01            16.07766
      202         0.150000E+00        0.631457E-01            57.90286
      203         0.300000E+01        0.168909E+00            94.36969
      204         0.100000E+00        0.839879E-01            16.01209
      205         0.150000E+00        0.603618E-01            59.75880
      206         0.300000E+01        0.180618E+00            93.97941
      207         0.100000E+00        0.839299E-01            16.07015
      208         0.150000E+00        0.599792E-01            60.01384
      209         0.300000E+01        0.188336E+00            93.72215
      210         0.100000E+00        0.840381E-01            15.96189
      211         0.150000E+00        0.605831E-01            59.61128
      212         0.300000E+01        0.192520E+00            93.58267
      213         0.100000E+00        0.839533E-01            16.04666
      214         0.150000E+00        0.682897E-01            54.47354
      215         0.300000E+01        0.193501E+00            93.54996
      216         0.100000E+00        0.836266E-01            16.37342
      217         0.150000E+00        0.654879E-01            56.34141
      218         0.300000E+01        0.191666E+00            93.61112
      219         0.100000E+00        0.838139E-01            16.18614
      220         0.150000E+00        0.657677E-01            56.15486
      221         0.300000E+01        0.186730E+00            93.77566
