# date, lai, canht, lat, lon, lai_std, canht_std
2017/03/24 00:00,0.5368,0.123333,48.249394686,11.7198709761,0.0477,0.015275
2017/03/28 00:00,0.846,0.136667,48.249394686,11.7198709761,0.2699,0.005774
2017/04/05 00:00,1.5202,0.236667,48.249394686,11.7198709761,0.1844,0.015275
2017/04/10 00:00,2.3236,0.25,48.249394686,11.7198709761,0.5701,0.026458
2017/04/21 00:00,3.0489,0.256667,48.249394686,11.7198709761,0.2044,0.049329
2017/05/02 00:00,3.6078,0.29,48.249394686,11.7198709761,0.667,0.01
2017/05/10 00:00,4.0399,0.29,48.249394686,11.7198709761,0.7843,0.01
2017/05/11 00:00,4.4454,0.3,48.249394686,11.7198709761,nan,nan
2017/05/16 00:00,4.8897,0.52,48.249394686,11.7198709761,0.4001,0.01
2017/05/26 00:00,5.3454,0.65,48.249394686,11.7198709761,nan,nan
2017/05/29 00:00,5.7063,0.713333,48.249394686,11.7198709761,0.3178,0.028868
2017/06/02 00:00,5.8611,0.783333,48.249394686,11.7198709761,0.3048,0.028868
2017/06/08 00:00,5.7737,0.786667,48.249394686,11.7198709761,1.1844,0.020817
2017/06/13 00:00,5.5121,0.843333,48.249394686,11.7198709761,0.4488,0.020817
2017/06/19 00:00,5.2058,0.87,48.249394686,11.7198709761,0.0879,0.01
2017/06/26 00:00,4.9564,0.853333,48.249394686,11.7198709761,0.3215,0.025166
2017/07/06 00:00,4.7626,0.816667,48.249394686,11.7198709761,0.3168,0.015275
2017/07/17 00:00,4.5134,0.796667,48.249394686,11.7198709761,0.358,0.015275
